cls,xcen,ycen,w,h,name
0,0.192740,0.404625,0.364663,0.711062,000000000113.txt
0,0.910325,0.413461,0.179351,0.512891,000000000113.txt
0,0.591178,0.371906,0.470192,0.604500,000000000113.txt
0,0.485240,0.499461,0.417563,0.978391,000000000241.txt
0,0.217229,0.683711,0.428458,0.543828,000000000241.txt
0,0.727677,0.611930,0.223229,0.401797,000000000241.txt
0,0.047031,0.741297,0.094062,0.317781,000000000241.txt
0,0.911990,0.707867,0.176021,0.359547,000000000241.txt
0,0.594594,0.519141,0.810813,0.961719,000000000370.txt
0,0.835070,0.841042,0.083547,0.169333,000000000382.txt
0,0.523391,0.613483,0.676125,0.750552,000000000395.txt
0,0.063133,0.597897,0.126266,0.480897,000000000395.txt
0,0.184836,0.643534,0.128984,0.352862,000000000395.txt
0,0.902508,0.672655,0.194984,0.654690,000000000395.txt
0,0.200016,0.441362,0.060719,0.080862,000000000395.txt
0,0.284094,0.507862,0.128312,0.188759,000000000395.txt
0,0.670172,0.427164,0.051469,0.182707,000000000395.txt
0,0.704500,0.453991,0.068594,0.195086,000000000395.txt
0,0.296867,0.630474,0.094359,0.115466,000000000395.txt
0,0.123273,0.479983,0.075609,0.218862,000000000395.txt
0,0.755555,0.513638,0.110609,0.154586,000000000395.txt
0,0.363117,0.497057,0.245766,0.649023,000000000431.txt
0,0.451896,0.597008,0.588333,0.805984,000000000446.txt
0,0.504429,0.514610,0.988619,0.858420,000000000474.txt
0,0.515203,0.582208,0.236500,0.621625,000000000510.txt
0,0.407031,0.328069,0.152469,0.286137,000000000790.txt
0,0.163570,0.579242,0.303422,0.633128,000000000790.txt
0,0.628320,0.451931,0.226172,0.428791,000000000790.txt
0,0.830172,0.658815,0.306031,0.682370,000000000790.txt
0,0.478279,0.620227,0.835293,0.755047,000000000962.txt
0,0.451580,0.646789,0.073774,0.111703,000000001102.txt
0,0.696688,0.310574,0.311469,0.349183,000000001108.txt
0,0.197102,0.534521,0.324047,0.904250,000000001183.txt
0,0.565813,0.485537,0.867125,0.970794,000000001298.txt
0,0.644758,0.199813,0.137953,0.390140,000000001298.txt
0,0.812954,0.321300,0.374093,0.320633,000000001319.txt
0,0.754867,0.880521,0.356484,0.238958,000000001342.txt
0,0.668583,0.760680,0.205457,0.388766,000000001359.txt
0,0.726961,0.593260,0.285392,0.750572,000000001360.txt
0,0.441461,0.662886,0.390734,0.652734,000000001375.txt
0,0.529229,0.588180,0.409065,0.554859,000000001407.txt
0,0.626752,0.120773,0.325888,0.241547,000000001407.txt
0,0.426764,0.114227,0.275537,0.215734,000000001407.txt
0,0.578435,0.070320,0.153178,0.137859,000000001407.txt
0,0.459273,0.420526,0.044047,0.138201,000000001451.txt
0,0.068500,0.125458,0.137000,0.203875,000000001536.txt
0,0.280920,0.555194,0.273400,0.863224,000000001569.txt
0,0.348730,0.620194,0.296300,0.756925,000000001569.txt
0,0.190560,0.489618,0.380920,0.183150,000000001596.txt
0,0.423040,0.538200,0.576400,0.914587,000000001895.txt
0,0.368242,0.532656,0.341203,0.770271,000000001966.txt
0,0.416023,0.091479,0.223078,0.171125,000000001966.txt
0,0.121930,0.067531,0.101547,0.135063,000000001966.txt
0,0.438758,0.353388,0.163047,0.609365,000000002056.txt
0,0.671406,0.746125,0.035187,0.125292,000000002258.txt
0,0.375481,0.229453,0.256033,0.174625,000000002278.txt
0,0.362078,0.534836,0.262375,0.930328,000000002400.txt
0,0.134227,0.602000,0.218109,0.724833,000000002415.txt
0,0.250078,0.335187,0.052750,0.130375,000000002415.txt
0,0.329797,0.498667,0.166531,0.469667,000000002415.txt
0,0.456625,0.500052,0.158906,0.478021,000000002415.txt
0,0.015133,0.505823,0.030266,0.457396,000000002415.txt
0,0.204469,0.360406,0.133406,0.236854,000000002415.txt
0,0.552508,0.500000,0.352766,1.000000,000000002525.txt
0,0.714648,0.429251,0.061859,0.234005,000000002525.txt
0,0.756875,0.378279,0.044938,0.102178,000000002525.txt
0,0.585482,0.411240,0.825783,0.597760,000000002583.txt
0,0.365070,0.433065,0.178984,0.757646,000000002658.txt
0,0.492219,0.520396,0.290063,0.926014,000000002658.txt
0,0.861516,0.521189,0.276969,0.813800,000000002658.txt
0,0.624375,0.338205,0.119000,0.519114,000000002658.txt
0,0.192648,0.223800,0.095328,0.261166,000000002658.txt
0,0.846664,0.200431,0.047078,0.140909,000000002658.txt
0,0.140094,0.562249,0.253063,0.847203,000000002658.txt
0,0.873227,0.569103,0.253547,0.832145,000000002658.txt
0,0.331820,0.166156,0.052359,0.133344,000000002686.txt
0,0.515445,0.177805,0.215953,0.286984,000000002686.txt
0,0.041797,0.183891,0.083594,0.219219,000000002686.txt
0,0.789609,0.837083,0.224156,0.114583,000000002693.txt
0,0.778641,0.538208,0.222469,0.653917,000000002693.txt
0,0.328922,0.847750,0.236906,0.304500,000000002693.txt
0,0.665750,0.520625,0.146250,0.596833,000000002693.txt
0,0.090930,0.542094,0.181859,0.285396,000000002754.txt
0,0.870364,0.820703,0.160429,0.270813,000000002774.txt
0,0.968209,0.817977,0.038993,0.090109,000000002774.txt
0,0.680641,0.268635,0.017094,0.027604,000000002860.txt
0,0.667555,0.259406,0.014328,0.021354,000000002860.txt
0,0.594273,0.246031,0.009828,0.015063,000000002860.txt
0,0.426773,0.456624,0.165484,0.572687,000000002867.txt
0,0.243508,0.579848,0.169141,0.780304,000000002867.txt
0,0.807148,0.594614,0.220422,0.781145,000000002867.txt
0,0.586867,0.421589,0.207391,0.455280,000000002867.txt
0,0.498489,0.390664,0.996979,0.781328,000000002992.txt
0,0.521594,0.103135,0.511875,0.194396,000000003001.txt
0,0.244547,0.367239,0.095562,0.295742,000000003125.txt
0,0.792977,0.413777,0.085891,0.170522,000000003125.txt
0,0.612664,0.659194,0.241203,0.322876,000000003197.txt
0,0.607625,0.322867,0.134531,0.484297,000000003209.txt
0,0.118008,0.459633,0.100359,0.321766,000000003209.txt
0,0.032508,0.476680,0.060547,0.327359,000000003209.txt
0,0.337383,0.383977,0.063641,0.099922,000000003209.txt
0,0.393227,0.663261,0.137234,0.566359,000000003236.txt
0,0.530422,0.739321,0.156344,0.323587,000000003236.txt
0,0.109836,0.784266,0.191234,0.355054,000000003236.txt
0,0.432352,0.899226,0.180734,0.201549,000000003236.txt
0,0.609648,0.709579,0.116328,0.354049,000000003236.txt
0,0.876336,0.826128,0.122266,0.347745,000000003236.txt
0,0.842109,0.733329,0.124594,0.443342,000000003236.txt
0,0.264586,0.888424,0.165891,0.221576,000000003236.txt
0,0.423262,0.597453,0.278281,0.567031,000000003293.txt
0,0.760762,0.589375,0.268555,0.531937,000000003293.txt
0,0.087250,0.542885,0.167781,0.648771,000000003325.txt
0,0.481703,0.443688,0.078500,0.104667,000000003325.txt
0,0.840906,0.582740,0.204469,0.543729,000000003325.txt
0,0.381031,0.506937,0.126844,0.201750,000000003326.txt
0,0.712922,0.498500,0.192125,0.328083,000000003326.txt
0,0.315114,0.346577,0.475294,0.417304,000000003432.txt
0,0.539620,0.554550,0.293000,0.620931,000000003488.txt
0,0.328867,0.740300,0.070276,0.086280,000000003493.txt
0,0.580977,0.665164,0.385328,0.638197,000000003637.txt
0,0.768391,0.525843,0.103438,0.462927,000000003637.txt
0,0.035805,0.249485,0.071609,0.271382,000000003637.txt
0,0.622008,0.341230,0.053578,0.083255,000000003637.txt
0,0.342211,0.390691,0.088297,0.150984,000000003735.txt
0,0.935719,0.180375,0.113604,0.347531,000000003751.txt
0,0.753727,0.066719,0.146703,0.132229,000000003779.txt
0,0.517894,0.576836,0.246518,0.466578,000000004020.txt
0,0.457730,0.590291,0.133780,0.347090,000000004069.txt
0,0.689310,0.628690,0.137900,0.343624,000000004069.txt
0,0.527338,0.504906,0.681973,0.792031,000000004131.txt
0,0.946095,0.137336,0.107811,0.273922,000000004131.txt
0,0.816676,0.136008,0.129622,0.272016,000000004131.txt
0,0.380969,0.602947,0.245656,0.724349,000000004243.txt
0,0.644594,0.221545,0.067781,0.108212,000000004243.txt
0,0.622742,0.761281,0.754516,0.444687,000000004385.txt
0,0.477751,0.519102,0.896416,0.939328,000000004424.txt
0,0.180555,0.714683,0.005328,0.020258,000000004478.txt
0,0.318141,0.690998,0.007906,0.024812,000000004478.txt
0,0.235375,0.698474,0.006531,0.022958,000000004478.txt
0,0.244969,0.706925,0.007719,0.030188,000000004478.txt
0,0.128773,0.699683,0.004203,0.020962,000000004478.txt
0,0.379594,0.688556,0.005687,0.022887,000000004478.txt
0,0.065719,0.708638,0.006438,0.021221,000000004478.txt
0,0.191492,0.694742,0.006734,0.025258,000000004478.txt
0,0.207289,0.714800,0.005672,0.018850,000000004478.txt
0,0.227383,0.699484,0.008672,0.025493,000000004478.txt
0,0.153305,0.700939,0.006141,0.017559,000000004478.txt
0,0.213992,0.717676,0.004859,0.015352,000000004478.txt
0,0.215328,0.690059,0.007281,0.021526,000000004478.txt
0,0.629797,0.560375,0.165906,0.345375,000000004578.txt
0,0.152898,0.540469,0.148984,0.301396,000000004662.txt
0,0.465461,0.489729,0.222203,0.440625,000000004662.txt
0,0.037164,0.531531,0.070953,0.479729,000000004662.txt
0,0.750242,0.224451,0.211797,0.448846,000000004764.txt
0,0.156742,0.265167,0.222484,0.530333,000000005018.txt
0,0.100914,0.373990,0.201828,0.696021,000000005018.txt
0,0.956375,0.182500,0.087250,0.361167,000000005018.txt
0,0.462836,0.439188,0.256766,0.781542,000000005032.txt
0,0.618234,0.527438,0.257969,0.883625,000000005032.txt
0,0.210078,0.702728,0.420156,0.594543,000000005131.txt
0,0.515008,0.810117,0.169422,0.379766,000000005131.txt
0,0.824133,0.740703,0.073734,0.219485,000000005131.txt
0,0.434797,0.789204,0.245875,0.393255,000000005131.txt
0,0.629805,0.706112,0.056828,0.118642,000000005131.txt
0,0.960141,0.763115,0.047313,0.188618,000000005131.txt
0,0.787539,0.830234,0.131172,0.339532,000000005131.txt
0,0.290563,0.733033,0.070187,0.120023,000000005131.txt
0,0.586898,0.746417,0.080078,0.121311,000000005131.txt
0,0.745422,0.636276,0.061281,0.074379,000000005131.txt
0,0.690078,0.798372,0.163219,0.403255,000000005131.txt
0,0.059508,0.735035,0.119016,0.407869,000000005131.txt
0,0.880367,0.790468,0.042266,0.244684,000000005131.txt
0,0.667760,0.527950,0.641240,0.528417,000000005225.txt
0,0.385469,0.528290,0.473844,0.917052,000000005247.txt
0,0.715875,0.510259,0.124625,0.516840,000000005247.txt
0,0.570625,0.273802,0.858750,0.542604,000000005303.txt
0,0.077266,0.254677,0.146625,0.215729,000000005303.txt
0,0.402672,0.694895,0.130062,0.493021,000000005356.txt
0,0.958328,0.700000,0.076250,0.558454,000000005356.txt
0,0.353937,0.487635,0.276406,0.453937,000000005385.txt
0,0.767695,0.485542,0.210672,0.359542,000000005385.txt
0,0.914937,0.524677,0.170125,0.410396,000000005385.txt
0,0.253383,0.613478,0.503766,0.750562,000000005430.txt
0,0.575523,0.545047,0.234422,0.905410,000000005430.txt
0,0.707867,0.468479,0.178641,0.400000,000000005508.txt
0,0.831375,0.617667,0.337250,0.550333,000000005508.txt
0,0.412078,0.702240,0.500563,0.447188,000000005508.txt
0,0.411562,0.859031,0.319719,0.256229,000000005508.txt
0,0.144969,0.791677,0.256375,0.416646,000000005508.txt
0,0.166266,0.386531,0.331656,0.529146,000000005508.txt
0,0.149594,0.541875,0.194750,0.209000,000000005508.txt
0,0.590656,0.717535,0.133625,0.321408,000000005559.txt
0,0.531984,0.776396,0.496438,0.447208,000000005589.txt
0,0.641012,0.564187,0.698682,0.844594,000000005715.txt
0,0.816624,0.336883,0.110894,0.111328,000000005715.txt
0,0.064365,0.558039,0.128729,0.579578,000000005715.txt
0,0.155824,0.364922,0.127788,0.108156,000000005715.txt
0,0.959800,0.362641,0.080400,0.052000,000000005715.txt
0,0.208224,0.372094,0.076024,0.092250,000000005715.txt
0,0.092894,0.359734,0.089506,0.059781,000000005715.txt
0,0.373820,0.719260,0.138480,0.362689,000000005728.txt
0,0.591180,0.609245,0.079000,0.266042,000000005728.txt
0,0.793060,0.634441,0.238440,0.293051,000000005728.txt
0,0.136120,0.679773,0.242480,0.438218,000000005728.txt
0,0.424551,0.385359,0.262304,0.232614,000000005906.txt
0,0.537500,0.646499,0.205406,0.669672,000000005962.txt
0,0.346344,0.679403,0.329844,0.613466,000000005962.txt
0,0.381656,0.795258,0.091000,0.137869,000000005962.txt
0,0.352610,0.495491,0.261300,0.863448,000000006268.txt
0,0.259830,0.355270,0.516660,0.692823,000000006364.txt
0,0.315790,0.666291,0.628580,0.541592,000000006364.txt
0,0.336389,0.549953,0.197181,0.495188,000000006379.txt
0,0.602654,0.513266,0.225062,0.463312,000000006379.txt
0,0.500844,0.495511,0.998312,0.986514,000000006393.txt
0,0.361007,0.560359,0.457705,0.849469,000000006489.txt
0,0.053232,0.349711,0.103279,0.149953,000000006489.txt
0,0.951969,0.218891,0.010063,0.016656,000000006517.txt
0,0.318073,0.655109,0.131521,0.251031,000000006517.txt
0,0.271125,0.373664,0.010250,0.013703,000000006517.txt
0,0.216979,0.386266,0.017375,0.035844,000000006517.txt
0,0.049258,0.726323,0.098516,0.519016,000000006541.txt
0,0.503922,0.596756,0.246750,0.806487,000000006541.txt
0,0.182453,0.755604,0.364906,0.457417,000000006580.txt
0,0.431078,0.639146,0.204969,0.543167,000000006580.txt
0,0.594422,0.358021,0.048781,0.113542,000000006580.txt
0,0.265469,0.413010,0.080563,0.182521,000000006580.txt
0,0.312492,0.394490,0.062922,0.172479,000000006580.txt
0,0.163758,0.445292,0.065297,0.168750,000000006580.txt
0,0.355008,0.390458,0.058953,0.107125,000000006580.txt
0,0.539234,0.358635,0.089719,0.135146,000000006580.txt
0,0.723250,0.349573,0.031875,0.109771,000000006580.txt
0,0.200297,0.444708,0.086469,0.225875,000000006580.txt
0,0.391320,0.343542,0.079578,0.130167,000000006580.txt
0,0.973375,0.614792,0.053250,0.254542,000000006580.txt
0,0.765250,0.318969,0.054625,0.102854,000000006580.txt
0,0.580050,0.445871,0.444700,0.847538,000000006593.txt
0,0.858320,0.555045,0.226000,0.557297,000000006593.txt
0,0.494820,0.263498,0.083640,0.514805,000000006593.txt
0,0.473095,0.503520,0.856295,0.961800,000000006664.txt
0,0.563030,0.504160,0.270740,0.304907,000000006719.txt
0,0.818160,0.035800,0.008280,0.009040,000000006719.txt
0,0.831530,0.034253,0.012780,0.019440,000000006719.txt
0,0.643824,0.487639,0.559542,0.880899,000000006973.txt
0,0.581320,0.544942,0.142141,0.874162,000000007256.txt
0,0.201672,0.569277,0.189531,0.838208,000000007256.txt
0,0.755305,0.610954,0.153609,0.778092,000000007256.txt
0,0.869344,0.596792,0.110594,0.700809,000000007256.txt
0,0.932977,0.593121,0.089078,0.663642,000000007256.txt
0,0.484133,0.407861,0.120266,0.474162,000000007256.txt
0,0.442986,0.549633,0.602412,0.867797,000000007420.txt
0,0.145867,0.509367,0.264895,0.977641,000000007420.txt
0,0.880082,0.352555,0.107377,0.167672,000000007420.txt
0,0.794883,0.377523,0.168407,0.337078,000000007420.txt
0,0.281241,0.283727,0.082014,0.113047,000000007420.txt
0,0.594148,0.212746,0.157859,0.420563,000000007603.txt
0,0.779711,0.498873,0.440578,0.988779,000000007603.txt
0,0.353539,0.472207,0.328609,0.944413,000000007603.txt
0,0.457711,0.513486,0.104703,0.159554,000000007603.txt
0,0.159422,0.493826,0.312281,0.987653,000000007603.txt
0,0.624125,0.755501,0.108688,0.393262,000000007627.txt
0,0.428758,0.345362,0.247453,0.574691,000000007627.txt
0,0.588383,0.494254,0.017609,0.022708,000000007627.txt
0,0.926187,0.511269,0.017813,0.043945,000000007627.txt
0,0.455031,0.476406,0.406625,0.670979,000000007757.txt
0,0.338486,0.558172,0.648887,0.874156,000000007894.txt
0,0.583809,0.676266,0.294458,0.401344,000000007996.txt
0,0.762219,0.558056,0.356469,0.838222,000000008042.txt
0,0.895063,0.443347,0.111187,0.201361,000000008042.txt
0,0.508141,0.532583,0.227531,0.934833,000000008042.txt
0,0.971211,0.440778,0.057578,0.183778,000000008042.txt
0,0.171628,0.455867,0.343255,0.300484,000000008043.txt
0,0.632162,0.479781,0.733832,0.725844,000000008095.txt
0,0.392275,0.504687,0.581230,0.715938,000000008095.txt
0,0.746141,0.561799,0.148781,0.400000,000000008341.txt
0,0.818617,0.513516,0.082828,0.389650,000000008341.txt
0,0.798609,0.534953,0.079719,0.389579,000000008341.txt
0,0.565805,0.398867,0.160797,0.235958,000000008493.txt
0,0.383352,0.451358,0.571078,0.898446,000000008592.txt
0,0.629756,0.761867,0.258538,0.354922,000000008807.txt
0,0.652470,0.482170,0.063100,0.153666,000000008816.txt
0,0.643094,0.760164,0.208625,0.249828,000000008933.txt
0,0.416719,0.749750,0.020438,0.019906,000000008933.txt
0,0.745625,0.751648,0.017813,0.028641,000000008933.txt
0,0.610422,0.437771,0.291094,0.248625,000000008968.txt
0,0.487641,0.513484,0.948312,0.941563,000000009007.txt
0,0.161070,0.358156,0.317672,0.375844,000000009007.txt
0,0.866367,0.372945,0.262141,0.442891,000000009007.txt
0,0.593750,0.224719,0.265000,0.449438,000000009095.txt
0,0.296414,0.229396,0.290109,0.458792,000000009095.txt
0,0.898125,0.269663,0.198750,0.534831,000000009095.txt
0,0.080625,0.653933,0.158750,0.247191,000000009095.txt
0,0.585571,0.716167,0.110365,0.185259,000000009420.txt
0,0.848893,0.622182,0.118836,0.187193,000000009420.txt
0,0.670982,0.274422,0.109087,0.207288,000000009420.txt
0,0.778276,0.839009,0.180160,0.243726,000000009420.txt
0,0.963311,0.748868,0.073379,0.234245,000000009420.txt
0,0.596381,0.614894,0.118973,0.200307,000000009420.txt
0,0.528904,0.584870,0.087397,0.245165,000000009420.txt
0,0.369966,0.443892,0.109795,0.166509,000000009420.txt
0,0.651530,0.401132,0.102237,0.150566,000000009420.txt
0,0.728151,0.386981,0.093973,0.168632,000000009420.txt
0,0.333185,0.844776,0.117877,0.236014,000000009420.txt
0,0.185913,0.540531,0.078904,0.130165,000000009420.txt
0,0.802409,0.418290,0.099932,0.227288,000000009420.txt
0,0.714450,0.443000,0.230260,0.539493,000000009488.txt
