cls,xmin,ymin,xmax,ymax,name
8.0,262.0,210.0,323.0,338.0,000005.xml
8.0,164.0,263.0,252.0,371.0,000005.xml
8.0,4.0,243.0,66.0,373.0,000005.xml
8.0,240.0,193.0,294.0,298.0,000005.xml
8.0,276.0,185.0,311.0,219.0,000005.xml
6.0,140.0,49.0,499.0,329.0,000007.xml
12.0,68.0,171.0,269.0,329.0,000009.xml
14.0,149.0,140.0,228.0,283.0,000009.xml
14.0,284.0,200.0,326.0,330.0,000009.xml
14.0,257.0,197.0,296.0,328.0,000009.xml
6.0,155.0,96.0,350.0,269.0,000012.xml
1.0,91.0,71.0,304.0,472.0,000016.xml
14.0,184.0,61.0,278.0,198.0,000017.xml
12.0,89.0,77.0,402.0,335.0,000017.xml
7.0,230.0,87.0,482.0,255.0,000019.xml
7.0,10.0,112.0,265.0,258.0,000019.xml
6.0,32.0,147.0,370.0,415.0,000020.xml
11.0,0.0,234.0,181.0,387.0,000021.xml
14.0,209.0,35.0,335.0,481.0,000021.xml
14.0,45.0,81.0,169.0,364.0,000021.xml
14.0,10.0,180.0,141.0,418.0,000021.xml
1.0,8.0,229.0,244.0,499.0,000023.xml
1.0,229.0,219.0,333.0,499.0,000023.xml
1.0,1.0,177.0,89.0,499.0,000023.xml
14.0,1.0,0.0,116.0,368.0,000023.xml
14.0,2.0,1.0,242.0,461.0,000023.xml
14.0,224.0,0.0,333.0,485.0,000023.xml
18.0,195.0,164.0,488.0,246.0,000024.xml
6.0,89.0,124.0,336.0,211.0,000026.xml
1.0,35.0,204.0,179.0,288.0,000030.xml
14.0,50.0,159.0,149.0,291.0,000030.xml
14.0,294.0,137.0,449.0,289.0,000030.xml
0.0,103.0,77.0,374.0,182.0,000032.xml
0.0,132.0,87.0,196.0,122.0,000032.xml
14.0,194.0,179.0,212.0,228.0,000032.xml
14.0,25.0,188.0,43.0,237.0,000032.xml
0.0,8.0,106.0,498.0,262.0,000033.xml
0.0,420.0,199.0,481.0,225.0,000033.xml
0.0,324.0,187.0,410.0,222.0,000033.xml
18.0,115.0,166.0,359.0,399.0,000034.xml
18.0,140.0,152.0,332.0,228.0,000034.xml
14.0,0.0,95.0,190.0,360.0,000035.xml
14.0,217.0,97.0,464.0,317.0,000035.xml
14.0,467.0,194.0,499.0,316.0,000035.xml
10.0,2.0,303.0,499.0,374.0,000035.xml
11.0,26.0,78.0,318.0,343.0,000036.xml
19.0,155.0,88.0,343.0,278.0,000039.xml
19.0,362.0,46.0,431.0,106.0,000041.xml
14.0,215.0,91.0,306.0,301.0,000041.xml
14.0,163.0,147.0,226.0,243.0,000041.xml
18.0,262.0,31.0,499.0,294.0,000042.xml
18.0,0.0,35.0,234.0,298.0,000042.xml
8.0,0.0,0.0,369.0,329.0,000044.xml
7.0,98.0,100.0,311.0,212.0,000044.xml
2.0,210.0,233.0,316.0,365.0,000046.xml
6.0,14.0,0.0,458.0,311.0,000047.xml
8.0,438.0,169.0,486.0,229.0,000047.xml
2.0,57.0,106.0,290.0,464.0,000048.xml
14.0,1.0,0.0,301.0,499.0,000048.xml
8.0,404.0,152.0,492.0,254.0,000050.xml
8.0,274.0,128.0,311.0,169.0,000050.xml
4.0,359.0,191.0,380.0,264.0,000050.xml
4.0,398.0,180.0,421.0,234.0,000050.xml
4.0,269.0,179.0,290.0,246.0,000050.xml
4.0,293.0,175.0,311.0,240.0,000050.xml
14.0,67.0,95.0,292.0,374.0,000050.xml
14.0,0.0,70.0,86.0,331.0,000050.xml
14.0,184.0,67.0,258.0,196.0,000050.xml
14.0,285.0,63.0,405.0,237.0,000050.xml
13.0,351.0,137.0,499.0,374.0,000051.xml
13.0,104.0,0.0,426.0,244.0,000051.xml
14.0,414.0,60.0,464.0,194.0,000051.xml
15.0,413.0,231.0,457.0,262.0,000052.xml
15.0,290.0,236.0,332.0,269.0,000052.xml
15.0,182.0,237.0,226.0,272.0,000052.xml
15.0,51.0,243.0,98.0,273.0,000052.xml
15.0,61.0,95.0,106.0,131.0,000052.xml
15.0,183.0,93.0,224.0,127.0,000052.xml
6.0,0.0,136.0,426.0,332.0,000060.xml
6.0,0.0,61.0,478.0,234.0,000060.xml
6.0,0.0,26.0,421.0,140.0,000060.xml
6.0,43.0,6.0,457.0,133.0,000060.xml
6.0,198.0,5.0,474.0,97.0,000060.xml
3.0,273.0,10.0,436.0,278.0,000061.xml
3.0,183.0,213.0,280.0,251.0,000061.xml
11.0,122.0,114.0,378.0,274.0,000063.xml
8.0,74.0,0.0,427.0,374.0,000063.xml
2.0,0.0,22.0,450.0,499.0,000064.xml
11.0,1.0,103.0,397.0,333.0,000065.xml
14.0,208.0,186.0,227.0,229.0,000066.xml
14.0,241.0,181.0,273.0,258.0,000066.xml
14.0,268.0,187.0,294.0,258.0,000066.xml
13.0,39.0,70.0,332.0,472.0,000072.xml
13.0,32.0,41.0,330.0,135.0,000072.xml
15.0,120.0,142.0,374.0,459.0,000073.xml
15.0,1.0,153.0,63.0,458.0,000073.xml
3.0,269.0,154.0,374.0,330.0,000073.xml
14.0,21.0,142.0,145.0,499.0,000073.xml
7.0,239.0,0.0,499.0,332.0,000077.xml
7.0,1.0,0.0,305.0,332.0,000077.xml
11.0,14.0,74.0,474.0,411.0,000078.xml
11.0,93.0,40.0,436.0,237.0,000078.xml
17.0,234.0,157.0,461.0,281.0,000081.xml
17.0,7.0,165.0,219.0,321.0,000081.xml
14.0,197.0,155.0,340.0,230.0,000081.xml
14.0,348.0,144.0,450.0,265.0,000081.xml
14.0,60.0,161.0,169.0,332.0,000081.xml
14.0,28.0,165.0,72.0,212.0,000081.xml
14.0,297.0,245.0,432.0,332.0,000081.xml
14.0,195.0,214.0,331.0,329.0,000081.xml
14.0,269.0,297.0,323.0,332.0,000081.xml
6.0,108.0,32.0,446.0,308.0,000083.xml
14.0,379.0,1.0,434.0,134.0,000083.xml
14.0,137.0,13.0,192.0,114.0,000083.xml
14.0,0.0,19.0,74.0,203.0,000083.xml
14.0,59.0,47.0,113.0,155.0,000083.xml
14.0,31.0,50.0,82.0,161.0,000083.xml
14.0,19.0,6.0,182.0,354.0,000089.xml
14.0,97.0,214.0,428.0,373.0,000089.xml
14.0,331.0,139.0,454.0,365.0,000089.xml
8.0,21.0,50.0,316.0,290.0,000089.xml
6.0,124.0,240.0,194.0,283.0,000091.xml
6.0,80.0,247.0,104.0,267.0,000091.xml
6.0,90.0,249.0,125.0,273.0,000091.xml
11.0,174.0,124.0,343.0,253.0,000093.xml
8.0,52.0,2.0,499.0,337.0,000093.xml
18.0,19.0,51.0,438.0,284.0,000095.xml
18.0,0.0,124.0,113.0,233.0,000095.xml
7.0,3.0,76.0,319.0,251.0,000099.xml
